epoch,loss,val_loss
0,0.474079966545105,0.6104499101638794
1,0.32635483145713806,0.5372397303581238
2,0.30213823914527893,0.45826882123947144
3,0.2858750522136688,0.741469144821167
4,0.2810097634792328,0.3277677595615387
5,0.27975815534591675,0.7109666466712952
6,0.27569204568862915,0.6100671887397766
7,0.2711997330188751,0.6925240159034729
8,0.26475897431373596,0.40222975611686707
9,0.26271164417266846,0.5798444151878357
10,0.2518807053565979,0.2635321021080017
11,0.25626659393310547,0.25882479548454285
12,0.2530013620853424,0.26017943024635315
13,0.2505451440811157,0.27820318937301636
14,0.24720598757266998,0.29750847816467285
15,0.25270476937294006,0.26537999510765076
16,0.24664615094661713,0.26084965467453003
17,0.24760186672210693,0.25855353474617004
18,0.2474195957183838,0.26100754737854004
19,0.2385050356388092,0.2605854868888855
20,0.25083014369010925,0.26065611839294434
21,0.25024405121803284,0.25980132818222046
22,0.24882975220680237,0.2599165141582489
23,0.2501762807369232,0.26016345620155334
24,0.24563950300216675,0.26047730445861816
25,0.24707646667957306,0.2601581811904907
26,0.2537939250469208,0.26016470789909363
27,0.2470313012599945,0.26025938987731934
28,0.2521154284477234,0.2602338492870331
29,0.2531566619873047,0.2602347731590271
30,0.2451200783252716,0.26021289825439453
31,0.24743185937404633,0.26014232635498047
32,0.24986149370670319,0.2601657509803772
33,0.2540317475795746,0.2601672410964966
34,0.2559884488582611,0.2601183354854584
35,0.2517780065536499,0.2600868046283722
36,0.25067418813705444,0.2600392997264862
37,0.2472686767578125,0.2600461542606354
38,0.2424732744693756,0.2601235806941986
39,0.2537246346473694,0.2601222097873688
40,0.24529583752155304,0.26013192534446716
41,0.2439010739326477,0.26010799407958984
42,0.24677695333957672,0.26015010476112366
43,0.25363242626190186,0.2601413428783417
44,0.24716585874557495,0.26013821363449097
45,0.24806256592273712,0.26015305519104004
46,0.2504015564918518,0.260138601064682
47,0.2520939111709595,0.26009342074394226
48,0.2512214183807373,0.260182648897171
49,0.25075697898864746,0.2601671814918518
